iter	Passed	Remaining
465	732	839
466	733	836
467	734	834
468	735	832
469	736	830
470	737	828
471	738	826
472	739	824
473	741	822
474	742	820
475	743	818
476	744	816
477	745	814
478	746	812
479	747	810
480	748	807
481	749	805
482	750	803
483	751	801
484	752	799
485	753	797
486	754	795
487	757	794
488	758	792
489	759	790
490	760	788
491	761	786
492	762	784
493	763	782
494	764	780
495	765	777
496	766	775
497	767	773
498	768	771
499	770	770
500	771	768
501	772	766
502	774	764
503	775	762
504	775	760
505	776	758
506	777	756
507	778	754
508	779	752
509	780	749
510	781	747
511	782	745
512	783	743
513	784	741
514	785	739
515	786	738
516	787	736
517	788	733
518	789	731
519	790	729
520	791	727
521	792	726
522	793	724
523	794	722
524	795	719
525	796	717
526	797	715
527	798	713
528	799	712
529	800	710
530	802	708
531	803	706
532	803	704
533	804	702
534	805	700
535	806	698
536	807	696
537	808	694
538	809	692
539	810	690
540	811	688
541	812	686
542	813	684
543	814	683
544	815	681
545	816	679
546	817	677
547	818	675
548	820	673
549	821	671
550	822	669
551	823	668
552	823	666
553	824	664
554	825	662
555	826	660
556	827	658
557	828	656
558	829	654
559	831	652
560	832	651
561	832	649
562	833	647
563	834	645
564	835	643
565	836	641
566	838	639
567	838	637
568	839	636
569	840	634
570	841	632
571	842	630
572	843	628
573	844	627
574	846	625
575	847	623
576	848	622
577	849	620
578	850	618
579	851	616
580	852	614
581	853	613
582	854	611
583	855	609
584	856	607
585	857	605
586	858	604
587	859	602
588	860	600
589	861	598
590	863	597
591	864	595
592	865	593
593	866	592
594	866	590
595	867	588
596	869	586
597	869	584
598	870	583
599	872	581
600	873	579
601	874	578
602	875	576
603	876	574
604	878	573
605	879	571
606	879	569
607	880	567
608	882	566
609	882	564
610	883	562
611	885	561
612	886	559
613	887	557
614	888	556
615	889	554
616	890	552
617	891	551
618	892	549
619	893	547
620	894	546
621	895	544
622	896	542
623	897	540
624	898	538
625	899	537
626	900	535
627	901	534
628	902	532
629	903	530
630	904	528
631	906	527
632	907	525
633	908	524
634	911	524
635	912	522
636	913	520
637	914	518
638	915	517
639	916	515
640	917	513
641	918	512
642	919	510
643	921	509
644	922	507
645	923	505
646	924	504
647	925	502
648	925	500
649	926	499
650	928	497
651	929	496
652	930	494
653	931	492
654	932	491
655	933	489
656	934	487
657	936	486
658	937	485
659	938	483
660	939	481
661	940	480
662	941	478
663	942	477
664	943	475
665	944	473
666	945	472
667	946	470
668	947	468
669	948	467
670	950	465
671	951	464
672	952	462
673	953	461
674	954	459
675	956	458
676	957	456
677	958	455
678	959	453
679	960	451
680	961	450
681	962	448
682	963	447
683	964	445
684	965	444
685	966	442
686	967	440
687	968	439
688	969	437
689	971	436
690	971	434
691	972	433
692	973	431
693	974	429
694	975	428
695	976	426
696	977	425
697	978	423
698	980	422
699	981	420
700	982	418
701	983	417
702	984	415
703	984	414
704	986	412
705	987	411
706	988	409
707	988	407
708	989	406
709	990	404
710	991	403
711	992	401
712	994	400
713	995	398
714	996	397
715	997	395
716	998	393
717	999	392
718	1000	390
719	1001	389
720	1002	387
721	1003	386
722	1004	384
723	1005	383
724	1006	381
725	1007	380
726	1008	378
727	1009	377
728	1010	375
729	1011	374
730	1012	372
731	1013	371
732	1014	369
733	1015	368
734	1016	366
735	1017	364
736	1018	363
737	1019	361
738	1020	360
